Sr_No,Movie_Name,Movie_Year,Movie_Rating
192,Call Me by Your Name,2017,8.1
193,Rush,2013,8.1
194,The Grand Budapest Hotel,2014,8.1
195,Ben-Hur,1959,8.1
196,Stalker,1979,8.1
197,Persona,1966,8.1
198,Jurassic Park,1993,8.1
199,Memories of Murder,2003,8.1
200,12 Years a Slave,2013,8.1
201,The 400 Blows,1959,8.1
202,Logan,2017,8.1
203,Million Dollar Baby,2004,8.1
204,Mad Max: Fury Road,2015,8.1
205,Spotlight,2015,8.1
206,The Truman Show,1998,8.1
207,La La Land,2016,8.1
208,Amores Perros,2000,8.1
209,A Wednesday,2008,8.1
210,Butch Cassidy and the Sundance Kid,1969,8.1
211,Before Sunrise,1995,8.1
212,Hachi: A Dog's Tale,2009,8.1
213,Nausicaä of the Valley of the Wind,1984,8.1
214,The Princess Bride,1987,8.1
215,Prisoners,2013,8.0
216,The Maltese Falcon,1941,8.0
217,The Nights of Cabiria,1957,8.0
218,Harry Potter and the Deathly Hallows: Part 2,2011,8.0
219,Catch Me If You Can,2002,8.0
220,Rocky,1976,8.0
221,The Grapes of Wrath,1940,8.0
222,Paper Moon,1973,8.0
223,Diabolique,1955,8.0
224,Monsters, Inc.,2001,8.0
225,Barry Lyndon,1975,8.0
226,Donnie Darko,2001,8.0
227,Gandhi,1982,8.0
228,Touch of Evil,1958,8.0
229,The Terminator,1984,8.0
230,Groundhog Day,1993,8.0
231,La Haine,1995,8.0
232,The Wizard of Oz,1939,8.0
233,Annie Hall,1977,8.0
234,The Bourne Ultimatum,2007,8.0
235,8½,1963,8.0
236,Jaws,1975,8.0
237,Dead Poets Society,1989,8.0
238,The Best Years of Our Lives,1946,8.0
239,In the Mood for Love,2000,8.0
240,The Help,2011,8.0
241,Dunkirk,2017,8.0
242,Paris, Texas,1984,8.0
243,Infernal Affairs,2002,8.0
244,The Legend of 1900,1998,8.0
245,Twelve Monkeys,1995,8.0
246,The Handmaiden,2016,8.0
247,Beauty and the Beast,1991,8.0
248,Dog Day Afternoon,1975,8.0
249,PK,2014,8.0
250,Three Colors: Red,1994,8.0
